D5911/D5914
站名,日期,到达时间,停车时间,里程,二等座,一等座,无座
利川,2017-03-28,起点站,14:38,0km,-,-,-
恩施,2017-03-28,15:10,15:17,61km,￥18,￥21.5,￥18
建始,2017-03-28,15:39,15:41,96km,￥28,￥33.5,￥28
宜昌东,2017-03-28,17:08,17:13,275km,￥81,￥97,￥81
枝江北,2017-03-28,17:31,17:33,319km,￥93.5,￥112,￥93.5
荆州,2017-03-28,17:51,17:54,363km,￥106.5,￥128,￥106.5
潜江,2017-03-28,18:20,18:22,433km,￥127,￥152.5,￥127
汉川,2017-03-28,18:54,18:56,521km,￥153,￥183.5,￥153
汉口,2017-03-28,19:21,19:25,567km,￥166.5,￥199.5,￥166.5
武汉,2017-03-28,19:49,19:53,603km,￥176.5,￥212.5,￥176.5
黄冈西,2017-03-28,20:18,20:20,657km,￥194.5,￥234.5,￥194.5
黄冈,2017-03-28,20:25,20:27,663km,￥196.5,￥236.5,￥196.5
黄冈东,2017-03-28,20:35,终到站,668km,￥198.5,￥238.5,￥198.5
D5991/D5994
站名,日期,到达时间,停车时间,里程,二等座,一等座,商务座
恩施,2017-03-28,起点站,14:44,0km,-,-,-
建始,2017-03-28,15:06,15:08,35km,￥10.5,￥12.5,￥31
巴东,2017-03-28,15:41,15:43,101km,￥29.5,￥35.5,￥89
宜昌东,2017-03-28,16:41,16:45,214km,￥62.5,￥75,￥188
荆州,2017-03-28,17:17,17:19,302km,￥88.5,￥106.5,￥88.5
潜江,2017-03-28,17:45,17:47,372km,￥109.5,￥130.5,￥327.5
仙桃西,2017-03-28,17:57,17:59,392km,￥115,￥138,￥345
天门南,2017-03-28,18:13,18:15,423km,￥124,￥148.5,￥372
汉口,2017-03-28,18:52,19:04,506km,￥148,￥178,￥445
武汉,2017-03-28,19:25,终到站,542km,￥158.5,￥190.5,￥476.5
D3711/D3714
站名,日期,到达时间,停车时间,里程,二等座,一等座,无座
广州南,2017-03-28,起点站,13:15,0km,-,-,-
肇庆东,2017-03-28,13:51,13:53,76km,-,-,-
郁南,2017-03-28,14:43,14:45,215km,￥66.5,￥79.5,￥66.5
梧州南,2017-03-28,15:00,15:04,246km,￥76,￥91,￥76
平南南,2017-03-28,15:35,15:37,330km,￥100.5,￥120.5,￥100.5
贵港,2017-03-28,16:11,16:13,423km,￥128,￥153,￥128
南宁东,2017-03-28,17:04,17:25,482km,￥169,￥202.5,￥169
钦州东,2017-03-28,18:10,18:12,588km,￥200,￥239.5,￥200
北海,2017-03-28,18:47,终到站,679km,￥226.5,￥272,￥226.5
D6611/D6614
站名,日期,到达时间,停车时间,里程,二等座,一等座,无座
北京,2017-03-28,起点站,07:25,0km,-,-,-
唐山北,2017-03-28,08:36,08:38,151km,￥44.5,￥52.5,￥44.5
唐山,2017-03-28,09:02,终到站,156km,￥52,￥62,￥52
G9448/G9449
站名,日期,到达时间,停车时间,里程,二等座,一等座,商务座
南京南,2017-03-28,起点站,21:13,0km,-,-,-
滁州,2017-03-28,21:31,21:34,59km,￥24.5,￥44.5,￥84.5
蚌埠南,2017-03-28,22:02,22:04,175km,￥79.5,￥134.5,￥254.5
宿州东,2017-03-28,22:27,22:29,263km,￥119.5,￥204.5,￥379.5
徐州东,2017-03-28,22:48,终到站,331km,￥149.5,￥254.5,￥479.5
G487/G490
站名,日期,到达时间,停车时间,里程,二等座,一等座,商务座
北京西,2017-03-28,起点站,10:45,0km,-,-,-
保定东,2017-03-28,11:26,11:28,139km,￥63.5,￥101.5,￥201.5
石家庄,2017-03-28,12:04,12:07,281km,￥128.5,￥206.5,￥407.5
郑州东,2017-03-28,13:36,13:39,693km,￥309,￥495,￥977
武汉,2017-03-28,15:25,15:28,1229km,￥520.5,￥832.5,￥1642.5
长沙南,2017-03-28,16:46,17:02,1591km,￥649,￥1038,￥2050
萍乡北,2017-03-28,17:31,17:33,1696km,￥697,￥1119.5,￥2201.5
宜春,2017-03-28,17:51,17:58,1757km,￥725,￥1167,￥2290
新余北,2017-03-28,18:13,18:15,1806km,￥747.5,￥1205,￥2361
南昌西,2017-03-28,18:48,终到站,1933km,￥806,￥1303,￥2545.5
G7371/G7374
站名,日期,到达时间,停车时间,里程,二等座,一等座,商务座
合肥南,2017-03-28,起点站,14:52,0km,-,-,-
肥东,2017-03-28,15:03,15:05,22km,￥6.5,￥7.5,￥19.5
全椒,2017-03-28,15:34,15:36,101km,￥41.5,￥50,￥123.5
南京南,2017-03-28,15:58,16:07,157km,￥60.5,￥72,￥180
常州,2017-03-28,16:52,16:55,303km,￥127.5,￥179.5,￥392
无锡,2017-03-28,17:09,17:11,342km,￥145.5,￥208,￥449
苏州,2017-03-28,17:26,17:28,384km,￥164.5,￥239,￥510
阳澄湖,2017-03-28,17:38,17:40,399km,￥176,￥257,￥546
昆山南,2017-03-28,17:47,17:49,408km,￥180.5,￥263.5,￥559.5
上海虹桥,2017-03-28,18:08,18:13,458km,￥203.5,￥300.5,￥632
桐乡,2017-03-28,18:47,18:49,570km,-,-,-
杭州东,2017-03-28,19:06,19:23,617km,￥276.5,￥417.5,￥851.5
诸暨,2017-03-28,19:46,19:48,710km,￥307,￥468.5,￥947
义乌,2017-03-28,20:02,20:04,762km,￥326.5,￥502,￥1009.5
金华,2017-03-28,20:20,20:22,810km,￥350.5,￥542,￥1085
龙游,2017-03-28,20:37,20:44,865km,-,-,-
衢州,2017-03-28,20:55,20:57,896km,￥386,￥602.5,￥1198
江山,2017-03-28,21:09,终到站,931km,￥400,￥625.5,￥1241.5
G1692/G1693
站名,日期,到达时间,停车时间,里程,二等座,一等座,商务座
长沙南,2017-03-28,起点站,08:18,0km,-,-,-
萍乡北,2017-03-28,08:47,08:49,105km,￥48,-,-
宜春,2017-03-28,09:07,09:09,166km,￥76,￥128.5,￥240.5
新余北,2017-03-28,09:24,09:26,215km,￥98.5,￥166.5,￥311.5
高安,2017-03-28,09:48,09:50,295km,￥135.5,￥228,￥427.5
南昌西,2017-03-28,10:05,10:13,342km,￥157,￥264.5,￥496
进贤南,2017-03-28,10:31,10:33,400km,-,-,-
鹰潭北,2017-03-28,10:55,10:57,482km,￥221.5,￥372.5,￥699
上饶,2017-03-28,11:27,11:33,583km,￥264,￥444.5,￥833.5
武夷山东,2017-03-28,12:03,12:05,588km,￥311.5,￥524.5,￥983.5
建瓯西,2017-03-28,12:21,12:23,593km,￥332.5,￥560,￥1050
南平北,2017-03-28,12:39,12:44,598km,￥354.5,￥597,￥1119
福州,2017-03-28,13:19,13:23,608km,￥404.5,￥681,￥1277
莆田,2017-03-28,14:06,14:09,713km,￥435.5,￥718,￥1369
泉州,2017-03-28,14:34,14:41,782km,￥455.5,￥742.5,￥1430
厦门北,2017-03-28,15:07,终到站,853km,￥476,￥767,￥1492.5
G7640/G7641
站名,日期,到达时间,停车时间,里程,硬座,软座,二等座
南京南,2017-03-28,起点站,07:11,0km,-,-,-
溧水,2017-03-28,07:27,07:29,46km,-,-,-
宜兴,2017-03-28,07:52,07:54,129km,-,-,-
湖州,2017-03-28,08:12,08:16,185km,-,-,-
德清,2017-03-28,08:29,08:31,221km,-,-,-
杭州东,2017-03-28,08:44,08:55,256km,-,-,-
诸暨,2017-03-28,09:20,09:22,349km,-,-,-
金华南,2017-03-28,09:48,09:50,406km,-,-,-
武义北,2017-03-28,10:01,10:03,411km,-,-,-
永康南,2017-03-28,10:15,10:17,416km,-,-,-
丽水,2017-03-28,10:36,10:38,426km,-,-,-
温州南,2017-03-28,11:12,11:14,510km,-,-,-
瑞安,2017-03-28,11:26,11:28,533km,-,-,-
苍南,2017-03-28,11:44,终到站,567km,-,-,-
