DDL
站名,日期,到达时间,停车时间,里程,二等座,一等座,无座
利川,2017-03-28,起点站,14:38,0km,-,-,-
恩施,2017-03-28,15:10,15:17,61km,￥18,￥21.5,￥18
建始,2017-03-28,15:39,15:41,96km,￥28,￥33.5,￥28
宜昌东,2017-03-28,17:08,17:13,275km,￥81,￥97,￥81
枝江北,2017-03-28,17:31,17:33,319km,￥93.5,￥112,￥93.5
荆州,2017-03-28,17:51,17:54,363km,￥106.5,￥128,￥106.5
潜江,2017-03-28,18:20,18:22,433km,￥127,￥152.5,￥127
汉川,2017-03-28,18:54,18:56,521km,￥153,￥183.5,￥153
汉口,2017-03-28,19:21,19:25,567km,￥166.5,￥199.5,￥166.5
武汉,2017-03-28,19:49,19:53,603km,￥176.5,￥212.5,￥176.5
黄冈西,2017-03-28,20:18,20:20,657km,￥194.5,￥234.5,￥194.5
黄冈,2017-03-28,20:25,20:27,663km,￥196.5,￥236.5,￥196.5
黄冈东,2017-03-28,20:35,终到站,668km,￥198.5,￥238.5,￥198.5
